toss_win_x,5_total_runs_x,10_total_runs_x,15_total_runs_x,20_total_runs_x,5_total_runs_y,10_total_runs_y,10_player_dismissed_y,inn1_avg_x,roll_win
1,35.0,74.0,100.0,149.0,39.0,64.0,2.0,159.0,1.0
1,28.0,60.0,98.0,139.0,27.0,48.0,6.0,139.42857142857142,0.0
0,55.0,88.0,113.0,165.0,66.0,85.0,2.0,152.0,1.0
1,45.0,111.0,151.0,187.0,39.0,70.0,2.0,159.0,1.0
1,36.0,66.0,101.0,143.0,31.0,60.0,3.0,154.83333333333334,2.0
1,44.0,61.0,94.0,139.0,40.0,65.0,0.0,152.0,1.0
1,23.0,50.0,86.0,119.0,13.0,47.0,4.0,152.0,1.0
0,30.0,55.0,118.0,148.0,35.0,70.0,3.0,154.83333333333334,2.0
0,26.0,81.0,104.0,164.0,28.0,61.0,3.0,154.83333333333334,1.0
1,31.0,61.0,88.0,148.0,21.0,60.0,2.0,147.33333333333334,2.0
1,27.0,62.0,100.0,145.0,28.0,70.0,1.0,152.0,0.0
1,35.0,58.0,102.0,141.0,20.0,60.0,5.0,159.0,1.0
0,36.0,77.0,130.0,163.0,38.0,72.0,3.0,144.0,1.0
1,23.0,52.0,92.0,153.0,44.0,81.0,3.0,159.0,0.0
1,23.0,53.0,86.0,149.0,51.0,74.0,1.0,144.0,2.0
1,45.0,84.0,130.0,178.0,34.0,79.0,5.0,147.33333333333334,2.0
0,44.0,93.0,136.0,211.0,25.0,53.0,5.0,152.0,2.0
1,48.0,69.0,103.0,154.0,49.0,76.0,1.0,152.0,0.0
1,36.0,63.0,99.0,145.0,27.0,71.0,3.0,154.83333333333334,0.0
0,23.0,49.0,76.0,105.0,25.0,62.0,2.0,154.83333333333334,1.0
1,25.0,43.0,74.0,116.0,33.0,52.0,2.0,147.33333333333334,1.0
0,44.0,72.0,100.0,168.0,42.0,86.0,4.0,158.0,1.0
1,25.0,61.0,99.0,140.0,25.0,67.0,2.0,158.0,2.0
1,42.0,67.0,104.0,157.0,31.0,58.0,4.0,159.0,0.0
0,25.0,52.0,77.0,123.0,45.0,72.0,3.0,144.0,0.0
1,32.0,77.0,108.0,166.0,25.0,59.0,3.0,158.0,1.0
0,27.0,69.0,102.0,173.0,36.0,70.0,2.0,154.83333333333334,0.0
1,43.0,70.0,92.0,119.0,35.0,74.0,2.0,154.83333333333334,2.0
0,32.0,81.0,109.0,173.0,40.0,83.0,2.0,152.0,1.0
1,43.0,72.0,105.0,129.0,30.0,57.0,3.0,152.0,2.0
1,39.0,66.0,123.0,145.0,23.0,54.0,3.0,152.0,1.0
0,27.0,52.0,97.0,120.0,35.0,50.0,3.0,135.0,1.0
1,34.0,70.0,96.0,147.0,34.0,56.0,2.0,159.0,1.0
0,29.0,50.0,89.0,160.0,41.0,71.0,1.0,144.0,0.0
0,33.0,55.0,94.0,134.0,40.0,65.0,2.0,144.0,1.0
1,26.0,60.0,95.0,150.0,19.0,60.0,3.0,135.0,1.0
1,42.0,83.0,123.0,188.0,34.0,83.0,1.0,154.83333333333334,1.0
1,28.0,63.0,89.0,134.0,19.0,54.0,1.0,144.0,1.0
0,38.0,61.0,79.0,101.0,21.0,38.0,5.0,152.0,1.0
1,44.0,70.0,96.0,116.0,26.0,42.0,2.0,152.0,0.0
0,28.0,72.0,109.0,165.0,46.0,93.0,1.0,154.83333333333334,1.0
1,31.0,64.0,116.0,170.0,45.0,85.0,1.0,154.83333333333334,1.0
0,41.0,83.0,109.0,153.0,59.0,102.0,3.0,154.83333333333334,1.0
0,46.0,74.0,107.0,146.0,49.0,82.0,2.0,144.0,1.0
0,23.0,62.0,101.0,143.0,33.0,69.0,3.0,144.0,1.0
0,31.0,57.0,92.0,161.0,56.0,88.0,1.0,146.64705882352942,0.0
1,52.0,101.0,159.0,212.0,38.0,69.0,4.0,180.36363636363637,0.0
0,39.0,76.0,113.0,142.0,30.0,61.0,3.0,163.28571428571428,1.0
0,18.0,57.0,89.0,135.0,52.0,85.0,0.0,161.62337662337663,1.0
1,55.0,80.0,127.0,190.0,31.0,70.0,5.0,166.85714285714286,2.0
0,45.0,57.0,91.0,141.0,47.0,99.0,3.0,163.16666666666666,1.0
1,35.0,87.0,133.0,203.0,43.0,89.0,1.0,170.57534246575344,1.0
1,22.0,59.0,96.0,164.0,34.0,67.0,5.0,161.62337662337663,1.0
0,56.0,112.0,165.0,218.0,49.0,84.0,5.0,164.4179104477612,1.0
1,50.0,89.0,139.0,185.0,50.0,102.0,2.0,164.4179104477612,0.0
0,53.0,100.0,125.0,170.0,22.0,57.0,4.0,167.71428571428572,2.0
1,42.0,92.0,124.0,168.0,37.0,65.0,1.0,163.16666666666666,0.0
1,37.0,74.0,102.0,151.0,40.0,85.0,1.0,180.36363636363637,2.0
1,44.0,77.0,115.0,171.0,41.0,85.0,1.0,167.71428571428572,2.0
0,30.0,59.0,98.0,136.0,34.0,73.0,1.0,166.85714285714286,0.0
1,34.0,67.0,102.0,155.0,51.0,76.0,1.0,180.36363636363637,1.0
0,29.0,67.0,104.0,171.0,22.0,61.0,3.0,170.57534246575344,1.0
0,49.0,87.0,133.0,183.0,59.0,102.0,2.0,163.28571428571428,1.0
0,38.0,85.0,126.0,180.0,50.0,98.0,2.0,180.36363636363637,1.0
1,42.0,79.0,108.0,148.0,51.0,95.0,1.0,163.16666666666666,2.0
1,45.0,75.0,126.0,183.0,31.0,74.0,3.0,163.28571428571428,1.0
0,58.0,95.0,128.0,183.0,37.0,78.0,1.0,170.57534246575344,0.0
1,49.0,96.0,129.0,177.0,50.0,80.0,3.0,163.16666666666666,2.0
0,42.0,78.0,100.0,172.0,48.0,78.0,4.0,146.64705882352942,1.0
1,56.0,91.0,135.0,177.0,32.0,55.0,4.0,164.4179104477612,1.0
0,41.0,85.0,118.0,163.0,37.0,82.0,2.0,180.36363636363637,1.0
1,33.0,80.0,117.0,161.0,47.0,89.0,1.0,166.85714285714286,1.0
1,45.0,79.0,120.0,188.0,33.0,69.0,5.0,164.4179104477612,2.0
1,40.0,80.0,116.0,181.0,46.0,87.0,2.0,161.62337662337663,1.0
1,36.0,74.0,119.0,181.0,40.0,77.0,2.0,163.28571428571428,1.0
1,50.0,91.0,170.0,246.0,47.0,105.0,2.0,166.85714285714286,1.0
1,47.0,70.0,114.0,178.0,36.0,68.0,3.0,180.36363636363637,1.0
1,46.0,69.0,149.0,200.0,52.0,107.0,1.0,161.62337662337663,2.0
1,48.0,89.0,125.0,184.0,36.0,56.0,2.0,164.4179104477612,2.0
1,37.0,82.0,128.0,159.0,48.0,86.0,2.0,149.33333333333334,2.0
1,35.0,85.0,124.0,165.0,38.0,67.0,2.0,166.85714285714286,1.0
1,42.0,86.0,126.0,153.0,65.0,111.0,1.0,159.87234042553192,0.0
1,41.0,88.0,126.0,181.0,39.0,91.0,1.0,161.62337662337663,1.0
0,39.0,68.0,107.0,184.0,30.0,80.0,1.0,170.57534246575344,1.0
1,45.0,74.0,109.0,154.0,46.0,87.0,1.0,163.28571428571428,2.0
1,41.0,74.0,110.0,138.0,35.0,56.0,2.0,149.33333333333334,2.0
0,51.0,83.0,124.0,160.0,33.0,76.0,1.0,170.57534246575344,1.0
1,44.0,63.0,81.0,111.0,32.0,59.0,1.0,164.4179104477612,2.0
0,41.0,73.0,106.0,174.0,20.0,60.0,4.0,159.87234042553192,1.0
0,28.0,71.0,111.0,151.0,32.0,72.0,1.0,149.33333333333334,1.0
1,40.0,66.0,108.0,183.0,55.0,87.0,4.0,180.36363636363637,1.0
1,24.0,53.0,87.0,130.0,42.0,91.0,2.0,159.87234042553192,2.0
1,34.0,55.0,74.0,112.0,26.0,56.0,4.0,166.85714285714286,1.0
0,34.0,72.0,98.0,174.0,37.0,82.0,2.0,175.66666666666666,0.0
0,29.0,75.0,138.0,191.0,30.0,64.0,3.0,170.57534246575344,2.0
1,32.0,73.0,101.0,132.0,38.0,69.0,2.0,161.62337662337663,1.0
0,43.0,86.0,131.0,192.0,37.0,94.0,3.0,175.66666666666666,0.0
1,34.0,79.0,117.0,145.0,37.0,59.0,4.0,164.4179104477612,1.0
1,29.0,69.0,86.0,133.0,41.0,72.0,0.0,161.62337662337663,2.0
1,39.0,81.0,107.0,184.0,41.0,83.0,4.0,146.64705882352942,1.0
1,31.0,62.0,96.0,142.0,19.0,43.0,3.0,146.64705882352942,0.0
1,29.0,58.0,108.0,168.0,21.0,58.0,1.0,146.64705882352942,1.0
1,32.0,78.0,107.0,153.0,44.0,76.0,1.0,166.85714285714286,2.0
0,40.0,69.0,90.0,137.0,29.0,60.0,1.0,156.58928571428572,2.0
1,34.0,65.0,118.0,163.0,23.0,62.0,3.0,161.62337662337663,1.0
1,30.0,43.0,89.0,151.0,43.0,86.0,2.0,159.87234042553192,1.0
0,20.0,50.0,91.0,140.0,33.0,78.0,1.0,170.57534246575344,0.0
0,27.0,67.0,126.0,188.0,49.0,99.0,1.0,163.28571428571428,2.0
0,34.0,73.0,114.0,175.0,27.0,53.0,4.0,156.58928571428572,1.0
0,29.0,67.0,102.0,159.0,44.0,90.0,1.0,159.87234042553192,0.0
0,35.0,71.0,125.0,182.0,32.0,84.0,0.0,167.87671232876713,1.0
1,33.0,80.0,126.0,183.0,31.0,67.0,3.0,166.85714285714286,1.0
0,38.0,81.0,113.0,165.0,59.0,104.0,0.0,156.58928571428572,1.0
1,36.0,90.0,129.0,168.0,33.0,78.0,3.0,164.4179104477612,1.0
0,38.0,55.0,100.0,132.0,28.0,59.0,3.0,161.62337662337663,0.0
0,73.0,106.0,169.0,195.0,38.0,61.0,4.0,163.28571428571428,0.0
0,31.0,67.0,107.0,164.0,38.0,84.0,2.0,167.87671232876713,1.0
0,44.0,76.0,114.0,171.0,46.0,92.0,0.0,161.62337662337663,1.0
0,52.0,115.0,173.0,231.0,34.0,96.0,1.0,164.4179104477612,0.0
0,47.0,72.0,102.0,172.0,39.0,72.0,4.0,156.58928571428572,1.0
0,29.0,54.0,88.0,109.0,33.0,68.0,0.0,159.87234042553192,1.0
0,35.0,66.0,99.0,142.0,40.0,58.0,4.0,166.85714285714286,1.0
0,34.0,69.0,115.0,160.0,62.0,97.0,4.0,164.4179104477612,1.0
0,19.0,37.0,90.0,129.0,23.0,45.0,6.0,146.8,1.0
0,34.0,64.0,105.0,148.0,34.0,60.0,2.0,164.4179104477612,1.0
0,29.0,50.0,67.0,94.0,17.0,46.0,1.0,159.87234042553192,2.0
0,40.0,78.0,118.0,181.0,35.0,63.0,1.0,170.57534246575344,0.0
1,31.0,46.0,94.0,157.0,29.0,51.0,4.0,146.8,1.0
0,35.0,55.0,86.0,119.0,40.0,71.0,2.0,161.62337662337663,1.0
0,37.0,77.0,102.0,143.0,29.0,59.0,2.0,159.87234042553192,0.0
1,26.0,58.0,96.0,165.0,57.0,88.0,1.0,166.85714285714286,2.0
0,24.0,67.0,114.0,159.0,18.0,62.0,1.0,167.87671232876713,1.0
0,38.0,62.0,98.0,140.0,61.0,89.0,3.0,164.4179104477612,1.0
0,35.0,73.0,110.0,169.0,38.0,68.0,2.0,156.58928571428572,1.0
1,36.0,86.0,113.0,147.0,39.0,73.0,1.0,166.85714285714286,0.0
0,35.0,65.0,97.0,160.0,27.0,48.0,3.0,146.64705882352942,1.0
0,30.0,69.0,98.0,156.0,40.0,69.0,0.0,146.8,1.0
0,30.0,67.0,125.0,175.0,24.0,85.0,3.0,156.58928571428572,2.0
0,47.0,103.0,155.0,205.0,33.0,62.0,6.0,170.57534246575344,1.0
0,50.0,76.0,129.0,178.0,13.0,56.0,4.0,167.87671232876713,2.0
1,29.0,71.0,96.0,119.0,32.0,69.0,2.0,163.28571428571428,1.0
0,47.0,84.0,136.0,196.0,38.0,70.0,4.0,159.87234042553192,2.0
1,39.0,72.0,100.0,136.0,43.0,82.0,1.0,156.58928571428572,1.0
0,32.0,74.0,112.0,146.0,50.0,90.0,1.0,159.87234042553192,0.0
1,39.0,67.0,105.0,176.0,46.0,65.0,3.0,166.85714285714286,2.0
0,46.0,103.0,130.0,178.0,35.0,84.0,2.0,163.44444444444446,1.0
1,23.0,53.0,82.0,135.0,24.0,49.0,3.0,167.87671232876713,0.0
0,33.0,70.0,126.0,170.0,25.0,67.0,2.0,175.66666666666666,0.0
0,35.0,62.0,92.0,136.0,40.0,78.0,2.0,146.64705882352942,0.0
1,29.0,99.0,173.0,232.0,27.0,69.0,4.0,175.66666666666666,1.0
1,24.0,64.0,101.0,152.0,29.0,63.0,2.0,166.85714285714286,2.0
0,25.0,54.0,81.0,118.0,43.0,74.0,2.0,146.64705882352942,0.0
0,47.0,85.0,147.0,198.0,36.0,77.0,2.0,175.66666666666666,1.0
0,17.0,36.0,79.0,128.0,34.0,80.0,2.0,170.57534246575344,2.0
0,44.0,81.0,121.0,175.0,36.0,84.0,2.0,161.62337662337663,2.0
0,39.0,73.0,122.0,175.0,24.0,62.0,2.0,167.87671232876713,2.0
0,19.0,49.0,102.0,147.0,51.0,87.0,2.0,167.87671232876713,1.0
0,67.0,111.0,150.0,185.0,41.0,80.0,3.0,166.85714285714286,1.0
1,48.0,94.0,161.0,205.0,38.0,69.0,5.0,166.85714285714286,1.0
0,34.0,75.0,95.0,112.0,37.0,76.0,3.0,166.85714285714286,1.0
0,27.0,51.0,91.0,129.0,21.0,48.0,3.0,167.87671232876713,0.0
0,48.0,82.0,127.0,191.0,40.0,73.0,4.0,159.87234042553192,0.0
0,41.0,69.0,108.0,157.0,40.0,68.0,3.0,170.57534246575344,1.0
0,38.0,75.0,121.0,193.0,35.0,73.0,2.0,158.0,1.0
0,29.0,68.0,116.0,164.0,23.0,65.0,4.0,159.87234042553192,1.0
1,36.0,71.0,113.0,166.0,13.0,53.0,3.0,147.64705882352942,1.0
1,27.0,61.0,96.0,138.0,15.0,49.0,2.0,158.0,2.0
0,47.0,92.0,128.0,165.0,20.0,43.0,5.0,170.57534246575344,0.0
0,44.0,80.0,137.0,197.0,35.0,79.0,2.0,167.87671232876713,2.0
1,51.0,96.0,149.0,205.0,32.0,85.0,1.0,166.85714285714286,2.0
1,33.0,58.0,85.0,131.0,26.0,68.0,1.0,161.62337662337663,2.0
1,35.0,84.0,120.0,157.0,27.0,71.0,4.0,164.4179104477612,1.0
1,39.0,71.0,114.0,155.0,48.0,72.0,2.0,147.64705882352942,1.0
0,24.0,60.0,87.0,134.0,41.0,70.0,2.0,161.62337662337663,2.0
1,34.0,61.0,113.0,195.0,42.0,76.0,3.0,170.57534246575344,1.0
0,16.0,43.0,79.0,92.0,34.0,58.0,2.0,167.87671232876713,2.0
1,49.0,83.0,119.0,196.0,50.0,89.0,1.0,159.87234042553192,0.0
1,48.0,96.0,134.0,182.0,40.0,63.0,2.0,170.57534246575344,2.0
1,34.0,63.0,89.0,124.0,47.0,75.0,2.0,163.28571428571428,2.0
1,28.0,64.0,127.0,187.0,44.0,112.0,1.0,156.58928571428572,0.0
0,28.0,68.0,115.0,164.0,35.0,65.0,4.0,166.85714285714286,1.0
0,27.0,70.0,105.0,163.0,25.0,72.0,3.0,163.28571428571428,1.0
1,36.0,62.0,107.0,146.0,40.0,70.0,1.0,166.85714285714286,1.0
0,34.0,88.0,125.0,192.0,29.0,92.0,2.0,164.4179104477612,1.0
1,28.0,58.0,129.0,163.0,42.0,75.0,2.0,167.87671232876713,1.0
0,35.0,67.0,98.0,126.0,32.0,65.0,3.0,167.71428571428572,0.0
0,27.0,62.0,107.0,189.0,35.0,67.0,1.0,159.87234042553192,1.0
1,18.0,50.0,95.0,146.0,46.0,99.0,1.0,147.64705882352942,1.0
1,35.0,56.0,100.0,168.0,29.0,64.0,2.0,163.28571428571428,0.0
1,48.0,71.0,122.0,177.0,39.0,73.0,3.0,147.64705882352942,0.0
0,40.0,88.0,153.0,207.0,36.0,88.0,3.0,164.4179104477612,1.0
1,38.0,77.0,121.0,156.0,45.0,69.0,2.0,166.85714285714286,0.0
1,40.0,87.0,134.0,190.0,32.0,56.0,3.0,161.62337662337663,1.0
1,35.0,73.0,105.0,152.0,30.0,67.0,0.0,164.4179104477612,1.0
1,32.0,74.0,98.0,139.0,31.0,68.0,1.0,166.85714285714286,1.0
1,26.0,58.0,110.0,186.0,31.0,75.0,1.0,167.71428571428572,1.0
1,50.0,80.0,104.0,141.0,51.0,96.0,1.0,159.87234042553192,1.0
0,25.0,59.0,122.0,158.0,44.0,80.0,2.0,170.57534246575344,1.0
1,28.0,72.0,92.0,120.0,31.0,47.0,4.0,147.64705882352942,0.0
1,47.0,82.0,124.0,160.0,40.0,76.0,1.0,166.85714285714286,1.0
1,49.0,98.0,121.0,150.0,35.0,66.0,5.0,161.62337662337663,2.0
1,45.0,94.0,126.0,177.0,27.0,65.0,4.0,163.28571428571428,0.0
0,46.0,72.0,123.0,173.0,38.0,74.0,1.0,167.87671232876713,1.0
0,39.0,74.0,117.0,181.0,36.0,83.0,0.0,170.57534246575344,2.0
1,43.0,79.0,108.0,153.0,50.0,80.0,1.0,164.4179104477612,2.0
1,28.0,56.0,91.0,125.0,41.0,79.0,2.0,147.64705882352942,1.0
0,42.0,86.0,129.0,170.0,31.0,70.0,2.0,156.58928571428572,1.0
0,12.0,48.0,95.0,141.0,27.0,54.0,1.0,167.87671232876713,1.0
0,25.0,61.0,89.0,126.0,30.0,53.0,2.0,159.87234042553192,1.0
0,41.0,88.0,129.0,173.0,38.0,80.0,4.0,147.64705882352942,1.0
1,43.0,76.0,132.0,182.0,23.0,61.0,3.0,161.62337662337663,1.0
0,24.0,52.0,78.0,114.0,38.0,75.0,0.0,166.85714285714286,1.0
1,34.0,77.0,126.0,170.0,26.0,60.0,4.0,159.87234042553192,1.0
1,41.0,76.0,126.0,190.0,28.0,76.0,3.0,163.28571428571428,1.0
0,34.0,69.0,107.0,171.0,28.0,56.0,5.0,170.57534246575344,1.0
0,39.0,86.0,112.0,158.0,44.0,96.0,0.0,161.62337662337663,2.0
1,38.0,64.0,99.0,136.0,36.0,55.0,4.0,164.4179104477612,2.0
0,25.0,54.0,94.0,140.0,20.0,59.0,1.0,167.87671232876713,1.0
0,24.0,45.0,77.0,120.0,34.0,65.0,2.0,175.66666666666666,1.0
0,39.0,79.0,137.0,215.0,47.0,96.0,3.0,164.4179104477612,1.0
1,31.0,61.0,93.0,126.0,44.0,69.0,1.0,156.58928571428572,1.0
0,18.0,50.0,84.0,141.0,34.0,87.0,1.0,175.66666666666666,1.0
1,22.0,45.0,101.0,136.0,35.0,61.0,3.0,147.64705882352942,1.0
0,21.0,47.0,75.0,132.0,37.0,57.0,4.0,156.58928571428572,0.0
1,31.0,74.0,106.0,162.0,39.0,79.0,0.0,159.87234042553192,1.0
1,36.0,68.0,99.0,162.0,47.0,83.0,2.0,147.64705882352942,2.0
0,22.0,61.0,114.0,187.0,47.0,77.0,3.0,170.57534246575344,0.0
0,39.0,83.0,162.0,222.0,35.0,89.0,3.0,166.85714285714286,1.0
1,35.0,86.0,136.0,190.0,41.0,100.0,1.0,166.85714285714286,2.0
0,41.0,68.0,96.0,128.0,40.0,75.0,2.0,161.62337662337663,0.0
0,28.0,59.0,100.0,156.0,27.0,62.0,2.0,170.57534246575344,1.0
0,32.0,60.0,87.0,126.0,18.0,48.0,3.0,156.58928571428572,1.0
1,36.0,73.0,127.0,165.0,33.0,73.0,1.0,164.4179104477612,0.0
1,28.0,72.0,96.0,148.0,32.0,58.0,3.0,166.85714285714286,1.0
1,33.0,55.0,94.0,130.0,31.0,56.0,3.0,156.58928571428572,2.0
0,27.0,63.0,100.0,144.0,36.0,55.0,5.0,159.87234042553192,1.0
1,22.0,80.0,138.0,209.0,42.0,84.0,2.0,167.87671232876713,2.0
0,38.0,72.0,116.0,138.0,31.0,65.0,0.0,163.28571428571428,0.0
0,31.0,72.0,113.0,154.0,21.0,80.0,2.0,170.57534246575344,2.0
1,40.0,72.0,102.0,145.0,58.0,87.0,1.0,147.64705882352942,2.0
1,28.0,46.0,72.0,114.0,25.0,51.0,2.0,164.4179104477612,0.0
1,37.0,72.0,115.0,183.0,34.0,72.0,5.0,167.87671232876713,2.0
0,26.0,64.0,115.0,165.0,17.0,64.0,2.0,166.85714285714286,1.0
1,42.0,76.0,109.0,180.0,33.0,68.0,1.0,161.62337662337663,1.0
1,42.0,78.0,106.0,159.0,25.0,63.0,3.0,166.85714285714286,0.0
0,29.0,70.0,99.0,157.0,34.0,82.0,2.0,163.28571428571428,0.0
0,42.0,67.0,94.0,152.0,43.0,84.0,2.0,170.57534246575344,0.0
0,17.0,42.0,75.0,119.0,39.0,65.0,3.0,147.64705882352942,1.0
