toss_win,5_total_runs,10_total_runs,15_total_runs,20_total_runs,20_player_dismissed,inn1_avg,roll_win
1,18.0,57.0,93.0,147.0,8.0,156.58928571428572,0.0
0,43.0,83.0,142.0,192.0,9.0,167.87671232876713,2.0
1,30.0,45.0,68.0,112.0,8.0,167.87671232876713,1.0
0,39.0,75.0,117.0,163.0,5.0,146.64705882352942,1.0
0,35.0,64.0,105.0,165.0,7.0,139.42857142857142,0.0
1,17.0,57.0,87.0,133.0,8.0,139.42857142857142,2.0
1,15.0,31.0,64.0,101.0,10.0,139.42857142857142,0.0
1,56.0,106.0,135.0,179.0,5.0,159.0,0.0
0,36.0,67.0,117.0,158.0,6.0,152.0,0.0
1,49.0,91.0,139.0,184.0,6.0,139.42857142857142,0.0
1,46.0,90.0,123.0,189.0,5.0,152.0,1.0
0,40.0,78.0,107.0,150.0,6.0,139.42857142857142,2.0
1,47.0,71.0,118.0,168.0,9.0,152.0,2.0
1,44.0,88.0,137.0,168.0,9.0,152.0,1.0
1,35.0,74.0,100.0,149.0,7.0,159.0,1.0
1,28.0,60.0,98.0,139.0,6.0,139.42857142857142,0.0
0,55.0,88.0,113.0,165.0,6.0,152.0,1.0
1,45.0,111.0,151.0,187.0,6.0,159.0,1.0
1,36.0,66.0,101.0,143.0,7.0,154.83333333333334,2.0
1,44.0,61.0,94.0,139.0,6.0,152.0,0.0
1,23.0,50.0,86.0,119.0,8.0,152.0,1.0
0,30.0,55.0,118.0,148.0,9.0,154.83333333333334,2.0
0,26.0,81.0,104.0,164.0,5.0,154.83333333333334,1.0
1,31.0,61.0,88.0,148.0,6.0,147.33333333333334,2.0
1,27.0,62.0,100.0,145.0,9.0,152.0,0.0
1,35.0,58.0,102.0,141.0,5.0,159.0,1.0
0,36.0,77.0,130.0,163.0,10.0,144.0,1.0
1,23.0,52.0,92.0,153.0,3.0,159.0,0.0
1,23.0,53.0,86.0,149.0,4.0,144.0,2.0
1,45.0,84.0,130.0,178.0,3.0,147.33333333333334,2.0
0,44.0,93.0,136.0,211.0,4.0,152.0,2.0
1,48.0,69.0,103.0,154.0,3.0,152.0,0.0
1,36.0,63.0,99.0,145.0,6.0,154.83333333333334,0.0
0,23.0,49.0,76.0,105.0,10.0,154.83333333333334,1.0
1,25.0,43.0,74.0,116.0,10.0,147.33333333333334,1.0
0,44.0,72.0,100.0,168.0,5.0,158.0,1.0
1,25.0,61.0,99.0,140.0,7.0,158.0,2.0
1,42.0,67.0,104.0,157.0,2.0,159.0,0.0
0,25.0,52.0,77.0,123.0,8.0,144.0,0.0
1,32.0,77.0,108.0,166.0,7.0,158.0,1.0
0,27.0,69.0,102.0,173.0,4.0,154.83333333333334,0.0
1,43.0,70.0,92.0,119.0,9.0,154.83333333333334,2.0
0,32.0,81.0,109.0,173.0,7.0,152.0,1.0
1,43.0,72.0,105.0,129.0,10.0,152.0,2.0
1,39.0,66.0,123.0,145.0,7.0,152.0,1.0
0,27.0,52.0,97.0,120.0,9.0,135.0,1.0
1,34.0,70.0,96.0,147.0,5.0,159.0,1.0
0,29.0,50.0,89.0,160.0,5.0,144.0,0.0
0,33.0,55.0,94.0,134.0,7.0,144.0,1.0
